Date,Actual,ElasticNet_Pred,SARIMAX_Pred,Ensemble_Pred
2024-12-01,200628,200758.5208446146,200890.03926268165,200797.97637003468
2025-01-01,184411,184971.16840959285,185818.4731580076,185225.35983411726
2025-02-01,195061,192530.11784553443,192566.85531814414,192541.13908731734
2025-03-01,212368,212462.73274212168,211820.621485161,212270.09936503344
2025-04-01,209709,212265.6768151325,212120.74910304905,212222.19850150746
2025-05-01,172377,172569.6289436675,170985.05561938472,172094.25694638267
2025-06-01,199951,198377.247018379,197439.37394051728,198095.88509502047
2025-07-01,201390,201994.6332580291,202263.37673256852,202075.2563003909
2025-08-01,214357,211993.42543213052,211609.22428368183,211878.1650875959
2025-09-01,193337,191000.45992755494,190522.24670115096,190856.99595963373
2025-10-01,178964,178610.195383396,177598.69343350956,178306.74479843007
2025-11-01,197146,198417.52694771532,200426.5125400464,199020.2226254146
2025-12-01,209391,210473.18020564647,211205.88174911877,210692.99066868814
